,User_ID,Rating,Movie_ID
2452737,1307700,4,645
12300485,1557557,4,3285
16184924,2366524,3,4260
17058926,1604525,3,4420
523173,2427904,4,191
5681991,2241247,3,1582
873952,1295187,5,270
7595467,2495108,4,2040
5954092,544571,3,1645
14124902,10268,3,3725
5906916,376614,5,1637
2371876,805329,5,607
5171947,668620,2,1428
8630,1318530,3,8
11632455,1639792,2,3135
9514709,179304,4,2495
8747351,1566744,1,2356
14610965,1619818,5,3860
12658164,584542,4,3368
8762819,2067793,5,2360
5244193,798104,3,1466
687758,444548,5,215
8156750,151821,1,2171
6100608,1602583,4,1682
4301015,1831562,5,1174
13987995,2377750,5,3680
7429764,1477066,3,2000
17299033,2391281,3,4488
16277489,1885136,5,4266
16812593,2194306,2,4364
1076640,561405,2,311
13772974,2398295,5,3624
13987850,2461227,2,3680
11703448,2144081,4,3150
10086500,1488088,4,2680
9728920,226632,4,2578
6884796,318718,3,1865
3323206,825451,5,886
17206316,1030812,4,4472
5994572,89590,2,1650
14092518,2524404,4,3713
2192266,1370255,5,571
5839852,1046467,5,1625
11282137,1776412,4,3023
9192786,488038,5,2452
4611540,141697,3,1250
4696945,1360238,3,1267
345952,1275039,4,143
17249227,437742,5,4472
679610,1706974,5,209
14287012,427821,4,3765
17242266,1185698,2,4472
2758668,769162,4,720
4056733,295728,4,1110
15582723,943743,4,4056
12347476,886919,5,3290
9079021,1487001,2,2400
10691608,2270970,4,2862
6074452,1719554,5,1664
14149627,439332,4,3730
9845697,1166855,3,2595
13724083,1436314,2,3624
11697133,2472537,3,3150
11089744,698017,2,2953
8819039,1183174,3,2372
7393327,2521679,4,1975
17259501,1792621,3,4479
126549,2597205,4,30
13403622,2425277,3,3541
11663133,1187402,5,3147
4086649,681208,5,1132
3174221,2050613,1,831
7162217,1394012,4,1912
5787925,1780876,4,1615
8998384,997240,3,2391
224083,378387,2,83
7689795,1950334,4,2095
1284328,399906,3,330
15519815,1061243,2,4043
8517428,1336919,1,2256
7499357,1839246,4,2009
7098568,720110,4,1905
14852173,1206022,3,3900
15363341,787308,5,3962
1385949,70476,3,348
13258216,1720155,5,3509
3335332,1884633,5,886
620687,1348456,4,197
429611,2109301,4,175
3060545,2274193,5,798
8951592,1187063,1,2389
7606998,1767517,4,2045
9324259,2412993,5,2457
4186348,1168718,3,1145
4335400,2050333,2,1176
10869395,2052164,4,2890
10149294,2297386,4,2699
7871731,2268794,4,2122
4446454,1751084,4,1202
1570902,1193964,4,406
9487233,1153627,5,2471
1102772,2135038,4,312
2287006,1729867,2,575
10050333,1051929,2,2675
13362413,2462235,3,3538
12005701,2433191,4,3224
5684821,2365596,5,1582
13532794,1143102,5,3605
981762,219832,5,295
12753060,1683828,5,3371
1070764,901325,5,305
11153244,1241070,3,2960
11936299,1241643,3,3198
9290363,669581,4,2452
13217362,2150751,4,3489
13331426,2092663,3,3535
9940227,277633,3,2617
2092138,2239826,1,533
3077684,1347523,5,798
15845945,2160684,3,4141
3798978,2049928,4,1050
4401465,555743,3,1180
15953966,916727,4,4166
1066479,756558,2,305
8800234,60296,2,2372
5790125,1598658,4,1615
15726150,465306,3,4123
14753587,1676685,5,3875
6317831,249920,5,1744
760688,469141,4,241
9230034,300857,5,2452
7784229,932047,3,2112
9696895,2054172,3,2574
13462951,790603,3,3570
5208174,2394623,5,1435
7898660,405180,5,2128
9363405,372018,4,2462
2154269,563469,3,551
105075,2118234,4,30
3184141,706274,3,831
9490846,2358949,2,2475
12443719,62471,3,3320
13574783,987785,5,3605
11287476,1488844,4,3035
10291551,2209897,2,2755
14170116,480198,4,3730
10945056,1660442,5,2913
7981660,2478523,4,2140
16734340,1686562,3,4356
5186557,836268,4,1428
10371975,1160712,4,2780
9917113,534508,3,2617
111241,516507,3,30
17329265,2600711,2,4493
8457257,1010725,4,2217
5973906,1424860,4,1650
14747278,781779,3,3875
16527627,700327,2,4315
11363045,876035,1,3078
1617542,1732550,1,418
16690298,2130918,4,4345
451175,460772,5,175
13813366,1681055,3,3626
7275473,635309,5,1962
16219519,2219648,3,4262
3246161,936928,3,862
10435958,282390,4,2782
9948158,399620,4,2617
15618186,2331739,3,4072
3279091,1753633,3,872
14965691,2460335,3,3917
8438120,237386,5,2209
15606647,1436024,4,4064
16865922,257630,1,4380
513160,1056896,4,189
7733178,1703083,4,2109
7918103,2568398,2,2128
15914985,1883088,3,4157
126491,2292529,4,30
3942655,1717675,4,1102
4776156,861599,3,1305
7910681,2127496,5,2128
1915567,2006715,5,482
7683800,1544859,4,2095
5262809,1232182,4,1467
8673532,1959405,3,2342
14987917,749635,4,3920
12968410,307261,3,3427
565452,2116083,4,191
2109936,1238762,3,548
2985127,2389394,4,788
4671078,657315,3,1266
15164818,827245,5,3938
12536696,2415005,3,3333
13759131,2175307,5,3624
8687476,1472673,1,2342
10009719,1333686,5,2660
11502500,1217576,5,3106
2918797,802617,4,759
1621900,2154376,2,420
9963299,46920,5,2640
6394181,448833,4,1754
5656356,187203,4,1571
16389421,2522206,3,4302
1247995,1638641,4,329
772734,1614636,5,252
14230463,2583709,3,3756
9216584,1091113,5,2452
1325578,711652,3,331
4264105,1528364,3,1148
13105739,1624471,5,3453
14295295,2123887,5,3769
15232772,1520616,4,3938
16411760,2178859,4,4306
13397971,1924107,4,3541
14344644,2159544,3,3782
2908158,207080,3,758
3792053,1952572,5,1050
12222478,1351421,3,3276
16992925,2026394,3,4402
10313326,172155,3,2757
15388428,476676,3,3966
689770,784378,4,216
1395044,747077,3,353
1467262,1942974,4,361
6914805,924504,5,1865
14006093,671716,5,3684
